vt_id,vt_app_type,vt_entry_term,satv_use,satm_use,satcomp_use,act_eng,act_math,act_read,act_sci,act_comp,nc1,nc2,nc3,ncav,EQ1_score-rator1,EQ1_score-rator2,EQ1_score-rator3,EQ1_score-rator4,EQ2_score-rator1,EQ2_score-rator2,EQ2_score-rator3,EQ2_score-rator4,EQ3_score-rator1,EQ3_score-rator2,EQ3_score-rator3,EQ3_score-rator4,EQ4_score-rator1,EQ4_score-rator2,EQ4_score-rator3,EQ4_score-rator4,hs_gpa,college_gpa,vt_major,vt_coll,vt_gpa_1yr,vt_grad_gpa,vt_adm_dec,vt_app_response,enr_after_first_yr,gender,age,ethnic/race,country_citz,residency,state
F62,F,,619,746,1365,23,23,33,29,23,12,2,9,4,1.0:10000001',1.0:10009588',1.0:10968446',1.0:12651839',1.0:10000001',1.0:10009588',1.0:10968446',1.0:12651839',1.0:10000001',1.0:10009588',1.0:10968446',1.0:12651839',1.0:10000001',1.0:10009588',1.0:10968446',1.0:12651839',3.21,2.6,Psychology,College of Science,1.29,3.45,rejected,No Response,False,Not Available,25,Native American,,In-State,VA
F63,F,,473,575,1048,33,32,28,19,34,4,4,4,10,4.0:10000001',4.0:10009588',4.0:10968446',4.0:12651839',4.0:10000001',4.0:10009588',4.0:10968446',4.0:12651839',4.0:10000001',4.0:10009588',4.0:10968446',4.0:12651839',4.0:10000001',4.0:10009588',4.0:10968446',4.0:12651839',2.88,3.25,Engineering,Business,3.59,3.66,admitted,No Response,True,Female,25,Black or African American,,International,NY
F64,F,Fall,534,671,1205,19,25,36,30,20,3,2,11,11,3.0:10000001',3.0:10009588',3.0:10968446',3.0:12651839',3.0:10000001',3.0:10009588',3.0:10968446',3.0:12651839',3.0:10000001',3.0:10009588',3.0:10968446',3.0:12651839',3.0:10000001',3.0:10009588',3.0:10968446',3.0:12651839',3.03,3.32,Psychology,Liberal Arts,2.95,2.31,waitlisted,Enroll,False,Not Available,26,Black or African American,Mexico,International,NY
F65,T,,702,405,1107,31,29,20,23,25,5,7,8,6,4.0:10000001',4.0:10009588',4.0:10968446',4.0:12651839',4.0:10000001',4.0:10009588',4.0:10968446',4.0:12651839',4.0:10000001',4.0:10009588',4.0:10968446',4.0:12651839',4.0:10000001',4.0:10009588',4.0:10968446',4.0:12651839',1.83,2.97,Physics,Education,1.35,2.73,waitlisted,No Response,False,Female,17,,Mexico,International,CA
F66,F,Summer,658,743,1401,21,20,29,26,22,10,7,9,7,4.0:10000001',4.0:10009588',4.0:10968446',4.0:12651839',4.0:10000001',4.0:10009588',4.0:10968446',4.0:12651839',4.0:10000001',4.0:10009588',4.0:10968446',4.0:12651839',4.0:10000001',4.0:10009588',4.0:10968446',4.0:12651839',3.88,3.01,Psychology,Engineering,2.0,3.37,admitted,No Response,True,Not Available,22,Black or African American,USA,Out-of-State,MD
F67,T,Summer,681,775,1456,20,23,27,28,23,10,1,1,11,4.0:10000001',4.0:10009588',4.0:10968446',4.0:12651839',4.0:10000001',4.0:10009588',4.0:10968446',4.0:12651839',4.0:10000001',4.0:10009588',4.0:10968446',4.0:12651839',4.0:10000001',4.0:10009588',4.0:10968446',4.0:12651839',2.37,3.22,Math,Engineering,3.35,2.77,admitted,No Response,True,Female,24,Hispanics of any race,USA,Out-of-State,
F68,F,Spring,408,734,1142,34,29,27,18,29,10,3,10,4,1.0:10000001',1.0:10009588',1.0:10968446',1.0:12651839',1.0:10000001',1.0:10009588',1.0:10968446',1.0:12651839',1.0:10000001',1.0:10009588',1.0:10968446',1.0:12651839',1.0:10000001',1.0:10009588',1.0:10968446',1.0:12651839',2.81,2.61,Engineering,Liberal Arts,3.31,1.91,rejected,Enroll,False,Male,19,Asian,Mexico,International,TX
F69,T,Spring,645,552,1197,31,32,25,23,34,11,3,4,11,3.0:10000001',3.0:10009588',3.0:10968446',3.0:12651839',3.0:10000001',3.0:10009588',3.0:10968446',3.0:12651839',3.0:10000001',3.0:10009588',3.0:10968446',3.0:12651839',3.0:10000001',3.0:10009588',3.0:10968446',3.0:12651839',3.2,3.05,Engineering,Engineering,2.18,2.66,waitlisted,No Response,True,Not Available,26,Asian,India,International,NY
F70,F,Fall,704,573,1277,35,30,28,27,25,12,1,7,10,4.0:10000001',4.0:10009588',4.0:10968446',4.0:12651839',4.0:10000001',4.0:10009588',4.0:10968446',4.0:12651839',4.0:10000001',4.0:10009588',4.0:10968446',4.0:12651839',4.0:10000001',4.0:10009588',4.0:10968446',4.0:12651839',1.71,3.06,BIOL,Engineering,2.99,2.13,waitlisted,No Response,False,Not Available,25,White,India,In-State,CA
F71,T,Spring,696,454,1150,29,32,27,21,28,5,2,12,3,3.0:10000001',3.0:10009588',3.0:10968446',3.0:12651839',3.0:10000001',3.0:10009588',3.0:10968446',3.0:12651839',3.0:10000001',3.0:10009588',3.0:10968446',3.0:12651839',3.0:10000001',3.0:10009588',3.0:10968446',3.0:12651839',2.39,3.42,Engineering,Education,2.01,2.76,admitted,Enroll,False,Female,29,Black or African American,China,In-State,TX
F72,T,Fall,521,750,1271,29,27,24,27,27,2,4,7,1,2.0:10000001',2.0:10009588',2.0:10968446',2.0:12651839',2.0:10000001',2.0:10009588',2.0:10968446',2.0:12651839',2.0:10000001',2.0:10009588',2.0:10968446',2.0:12651839',2.0:10000001',2.0:10009588',2.0:10968446',2.0:12651839',3.0,1.89,Physics,Liberal Arts,1.74,1.8,rejected,No Response,False,Female,26,White,India,In-State,VA
F73,T,,727,523,1250,32,33,28,26,29,3,3,7,11,1.0:10000001',1.0:10009588',1.0:10968446',1.0:12651839',1.0:10000001',1.0:10009588',1.0:10968446',1.0:12651839',1.0:10000001',1.0:10009588',1.0:10968446',1.0:12651839',1.0:10000001',1.0:10009588',1.0:10968446',1.0:12651839',3.12,2.58,Computer Science,Liberal Arts,3.46,3.43,rejected,Enroll,False,Female,,White,China,In-State,TX
F74,T,,587,774,1361,30,35,20,24,32,4,8,9,7,1.0:10000001',1.0:10009588',1.0:10968446',1.0:12651839',1.0:10000001',1.0:10009588',1.0:10968446',1.0:12651839',1.0:10000001',1.0:10009588',1.0:10968446',1.0:12651839',1.0:10000001',1.0:10009588',1.0:10968446',1.0:12651839',1.57,1.85,Physics,Education,1.21,2.35,rejected,No Response,True,Not Available,24,Native American,Mexico,International,
F75,F,Fall,527,519,1046,33,29,27,24,36,2,5,4,7,3.0:10000001',3.0:10009588',3.0:10968446',3.0:12651839',3.0:10000001',3.0:10009588',3.0:10968446',3.0:12651839',3.0:10000001',3.0:10009588',3.0:10968446',3.0:12651839',3.0:10000001',3.0:10009588',3.0:10968446',3.0:12651839',2.05,2.83,Computer Science,Engineering,1.93,1.59,waitlisted,Enroll,,Male,20,Native American,,,NY
F76,T,Fall,795,514,1309,32,34,21,27,32,4,12,12,2,1.0:10000001',1.0:10009588',1.0:10968446',1.0:12651839',1.0:10000001',1.0:10009588',1.0:10968446',1.0:12651839',1.0:10000001',1.0:10009588',1.0:10968446',1.0:12651839',1.0:10000001',1.0:10009588',1.0:10968446',1.0:12651839',2.87,1.58,BIOL,Business,2.92,2.05,rejected,Enroll,False,,25,Native American,China,In-State,VA
F77,T,Spring,508,710,1218,28,32,21,22,29,5,6,10,10,3.0:10000001',3.0:10009588',3.0:10968446',3.0:12651839',3.0:10000001',3.0:10009588',3.0:10968446',3.0:12651839',3.0:10000001',3.0:10009588',3.0:10968446',3.0:12651839',3.0:10000001',3.0:10009588',3.0:10968446',3.0:12651839',2.26,3.16,Physics,Liberal Arts,2.21,3.09,waitlisted,No Response,True,,20,White,Canada,Out-of-State,VA
F78,F,,661,672,1333,36,29,23,20,26,8,7,9,12,4.0:10000001',4.0:10009588',4.0:10968446',4.0:12651839',4.0:10000001',4.0:10009588',4.0:10968446',4.0:12651839',4.0:10000001',4.0:10009588',4.0:10968446',4.0:12651839',4.0:10000001',4.0:10009588',4.0:10968446',4.0:12651839',3.13,2.93,Computer Science,College of Science,3.26,3.38,admitted,No Response,,Male,27,Hispanics of any race,USA,In-State,VA
F79,T,Fall,762,474,1236,26,22,32,35,25,2,6,7,1,1.0:10000001',1.0:10009588',1.0:10968446',1.0:12651839',1.0:10000001',1.0:10009588',1.0:10968446',1.0:12651839',1.0:10000001',1.0:10009588',1.0:10968446',1.0:12651839',1.0:10000001',1.0:10009588',1.0:10968446',1.0:12651839',1.82,1.52,Math,Business,1.14,3.3,rejected,,True,Male,26,Black or African American,USA,Out-of-State,TX
F80,F,,402,467,869,33,26,22,26,36,9,11,9,8,4.0:10000001',4.0:10009588',4.0:10968446',4.0:12651839',4.0:10000001',4.0:10009588',4.0:10968446',4.0:12651839',4.0:10000001',4.0:10009588',4.0:10968446',4.0:12651839',4.0:10000001',4.0:10009588',4.0:10968446',4.0:12651839',2.49,3.15,Physics,Education,3.43,2.66,rejected,,True,,25,White,China,,VA
F81,F,Summer,756,541,1297,22,25,35,36,29,8,8,8,1,2.0:10000001',2.0:10009588',2.0:10968446',2.0:12651839',2.0:10000001',2.0:10009588',2.0:10968446',2.0:12651839',2.0:10000001',2.0:10009588',2.0:10968446',2.0:12651839',2.0:10000001',2.0:10009588',2.0:10968446',2.0:12651839',2.62,2.24,Psychology,Education,1.69,2.42,rejected,Enroll,False,Male,21,Hispanics of any race,Canada,In-State,VA
F82,T,Summer,713,429,1142,31,33,23,21,30,7,5,4,11,1.0:10000001',1.0:10009588',1.0:10968446',1.0:12651839',1.0:10000001',1.0:10009588',1.0:10968446',1.0:12651839',1.0:10000001',1.0:10009588',1.0:10968446',1.0:12651839',1.0:10000001',1.0:10009588',1.0:10968446',1.0:12651839',1.93,3.3,Engineering,Education,3.47,3.41,rejected,No Response,True,Not Available,18,White,Mexico,Out-of-State,MD
F83,F,,623,694,1317,32,26,24,23,36,12,12,10,3,4.0:10000001',4.0:10009588',4.0:10968446',4.0:12651839',4.0:10000001',4.0:10009588',4.0:10968446',4.0:12651839',4.0:10000001',4.0:10009588',4.0:10968446',4.0:12651839',4.0:10000001',4.0:10009588',4.0:10968446',4.0:12651839',2.2,2.68,Physics,Engineering,3.87,3.62,admitted,,True,,25,Native American,China,International,NY
F84,T,Summer,611,456,1067,34,29,25,24,28,2,7,10,6,4.0:10000001',4.0:10009588',4.0:10968446',4.0:12651839',4.0:10000001',4.0:10009588',4.0:10968446',4.0:12651839',4.0:10000001',4.0:10009588',4.0:10968446',4.0:12651839',4.0:10000001',4.0:10009588',4.0:10968446',4.0:12651839',2.58,3.2,BIOL,Engineering,3.8,3.18,admitted,Enroll,True,Not Available,17,Black or African American,India,In-State,CA
F85,T,Spring,595,510,1105,27,25,36,35,23,8,7,3,3,4.0:10000001',4.0:10009588',4.0:10968446',4.0:12651839',4.0:10000001',4.0:10009588',4.0:10968446',4.0:12651839',4.0:10000001',4.0:10009588',4.0:10968446',4.0:12651839',4.0:10000001',4.0:10009588',4.0:10968446',4.0:12651839',3.12,3.4,Psychology,College of Science,3.38,2.58,waitlisted,Enroll,True,Female,28,Black or African American,,International,VA
F86,F,,523,621,1144,36,35,24,18,25,11,5,5,9,3.0:10000001',3.0:10009588',3.0:10968446',3.0:12651839',3.0:10000001',3.0:10009588',3.0:10968446',3.0:12651839',3.0:10000001',3.0:10009588',3.0:10968446',3.0:12651839',3.0:10000001',3.0:10009588',3.0:10968446',3.0:12651839',2.21,2.32,BIOL,Engineering,1.33,3.03,waitlisted,No Response,True,,22,Native American,Mexico,,NY
F87,F,Spring,422,614,1036,31,36,23,20,32,8,11,3,1,3.0:10000001',3.0:10009588',3.0:10968446',3.0:12651839',3.0:10000001',3.0:10009588',3.0:10968446',3.0:12651839',3.0:10000001',3.0:10009588',3.0:10968446',3.0:12651839',3.0:10000001',3.0:10009588',3.0:10968446',3.0:12651839',2.87,1.52,Computer Science,Education,1.94,3.3,waitlisted,Enroll,False,,24,,China,International,CA
F88,T,,660,409,1069,34,26,23,26,30,11,10,8,11,3.0:10000001',3.0:10009588',3.0:10968446',3.0:12651839',3.0:10000001',3.0:10009588',3.0:10968446',3.0:12651839',3.0:10000001',3.0:10009588',3.0:10968446',3.0:12651839',3.0:10000001',3.0:10009588',3.0:10968446',3.0:12651839',2.91,3.17,Engineering,Education,2.4,2.94,admitted,Enroll,True,Not Available,23,Hispanics of any race,,Out-of-State,NY
F89,T,Spring,733,403,1136,35,30,28,21,27,12,5,4,9,1.0:10000001',1.0:10009588',1.0:10968446',1.0:12651839',1.0:10000001',1.0:10009588',1.0:10968446',1.0:12651839',1.0:10000001',1.0:10009588',1.0:10968446',1.0:12651839',1.0:10000001',1.0:10009588',1.0:10968446',1.0:12651839',1.52,3.18,Computer Science,Liberal Arts,1.73,1.95,rejected,No Response,True,Male,,Native American,USA,International,MD
F90,T,Spring,767,415,1182,35,33,27,18,30,6,5,7,11,1.0:10000001',1.0:10009588',1.0:10968446',1.0:12651839',1.0:10000001',1.0:10009588',1.0:10968446',1.0:12651839',1.0:10000001',1.0:10009588',1.0:10968446',1.0:12651839',1.0:10000001',1.0:10009588',1.0:10968446',1.0:12651839',3.11,1.99,BIOL,College of Science,3.33,2.77,rejected,Enroll,False,,26,Hispanics of any race,USA,Out-of-State,MD
F91,F,,446,642,1088,36,30,18,24,29,2,9,3,12,1.0:10000001',1.0:10009588',1.0:10968446',1.0:12651839',1.0:10000001',1.0:10009588',1.0:10968446',1.0:12651839',1.0:10000001',1.0:10009588',1.0:10968446',1.0:12651839',1.0:10000001',1.0:10009588',1.0:10968446',1.0:12651839',3.29,2.21,Engineering,College of Science,3.09,2.31,rejected,No Response,True,Male,18,Native American,,Out-of-State,VA
F92,T,,550,655,1205,26,31,24,22,33,4,4,5,4,3.0:10000001',3.0:10009588',3.0:10968446',3.0:12651839',3.0:10000001',3.0:10009588',3.0:10968446',3.0:12651839',3.0:10000001',3.0:10009588',3.0:10968446',3.0:12651839',3.0:10000001',3.0:10009588',3.0:10968446',3.0:12651839',2.59,3.45,BIOL,Engineering,3.2,2.71,admitted,Enroll,,Not Available,19,Hispanics of any race,Canada,International,VA
F93,T,Summer,451,489,940,23,25,32,34,20,9,7,9,12,2.0:10000001',2.0:10009588',2.0:10968446',2.0:12651839',2.0:10000001',2.0:10009588',2.0:10968446',2.0:12651839',2.0:10000001',2.0:10009588',2.0:10968446',2.0:12651839',2.0:10000001',2.0:10009588',2.0:10968446',2.0:12651839',3.33,3.41,Psychology,Engineering,2.8,2.79,rejected,No Response,True,,19,Hispanics of any race,Canada,International,
F94,F,,729,444,1173,25,23,34,36,24,4,7,6,10,1.0:10000001',1.0:10009588',1.0:10968446',1.0:12651839',1.0:10000001',1.0:10009588',1.0:10968446',1.0:12651839',1.0:10000001',1.0:10009588',1.0:10968446',1.0:12651839',1.0:10000001',1.0:10009588',1.0:10968446',1.0:12651839',3.25,2.82,Psychology,College of Science,1.32,1.58,rejected,Enroll,False,Male,28,Hispanics of any race,Canada,In-State,CA
F95,T,Spring,544,677,1221,31,32,23,18,25,1,9,1,5,2.0:10000001',2.0:10009588',2.0:10968446',2.0:12651839',2.0:10000001',2.0:10009588',2.0:10968446',2.0:12651839',2.0:10000001',2.0:10009588',2.0:10968446',2.0:12651839',2.0:10000001',2.0:10009588',2.0:10968446',2.0:12651839',3.29,2.41,BIOL,Engineering,1.13,2.42,rejected,Enroll,False,Male,29,Native American,USA,Out-of-State,TX
F96,F,Summer,570,550,1120,30,31,19,28,25,5,9,9,12,1.0:10000001',1.0:10009588',1.0:10968446',1.0:12651839',1.0:10000001',1.0:10009588',1.0:10968446',1.0:12651839',1.0:10000001',1.0:10009588',1.0:10968446',1.0:12651839',1.0:10000001',1.0:10009588',1.0:10968446',1.0:12651839',3.02,2.91,Physics,Business,2.61,2.98,rejected,No Response,,,19,Asian,Canada,International,TX
F97,T,,663,506,1169,34,27,19,18,31,2,7,10,3,3.0:10000001',3.0:10009588',3.0:10968446',3.0:12651839',3.0:10000001',3.0:10009588',3.0:10968446',3.0:12651839',3.0:10000001',3.0:10009588',3.0:10968446',3.0:12651839',3.0:10000001',3.0:10009588',3.0:10968446',3.0:12651839',2.06,2.9,BIOL,Liberal Arts,2.5,3.88,admitted,Enroll,False,Male,29,Hispanics of any race,Mexico,International,
F98,F,,452,479,931,22,24,33,28,27,5,5,10,12,1.0:10000001',1.0:10009588',1.0:10968446',1.0:12651839',1.0:10000001',1.0:10009588',1.0:10968446',1.0:12651839',1.0:10000001',1.0:10009588',1.0:10968446',1.0:12651839',1.0:10000001',1.0:10009588',1.0:10968446',1.0:12651839',2.94,3.19,Psychology,College of Science,3.45,2.54,rejected,No Response,False,Male,26,Hispanics of any race,Canada,Out-of-State,
F99,F,Summer,700,535,1235,30,30,23,27,30,8,8,11,2,2.0:10000001',2.0:10009588',2.0:10968446',2.0:12651839',2.0:10000001',2.0:10009588',2.0:10968446',2.0:12651839',2.0:10000001',2.0:10009588',2.0:10968446',2.0:12651839',2.0:10000001',2.0:10009588',2.0:10968446',2.0:12651839',2.7,2.27,Physics,Business,2.37,3.29,rejected,No Response,False,Not Available,17,Black or African American,India,,TX
F100,F,Fall,709,689,1398,25,26,35,26,30,4,5,11,11,2.0:10000001',2.0:10009588',2.0:10968446',2.0:12651839',2.0:10000001',2.0:10009588',2.0:10968446',2.0:12651839',2.0:10000001',2.0:10009588',2.0:10968446',2.0:12651839',2.0:10000001',2.0:10009588',2.0:10968446',2.0:12651839',2.31,2.64,Math,Education,2.41,3.16,rejected,Enroll,False,Not Available,19,Native American,China,International,TX
F101,T,Fall,427,559,986,28,22,28,31,27,5,4,8,10,4.0:10000001',4.0:10009588',4.0:10968446',4.0:12651839',4.0:10000001',4.0:10009588',4.0:10968446',4.0:12651839',4.0:10000001',4.0:10009588',4.0:10968446',4.0:12651839',4.0:10000001',4.0:10009588',4.0:10968446',4.0:12651839',3.09,2.2,Math,College of Science,3.19,2.62,rejected,,False,Female,,Hispanics of any race,Canada,International,CA
F102,F,,497,562,1059,31,27,19,18,30,12,2,8,2,4.0:10000001',4.0:10009588',4.0:10968446',4.0:12651839',4.0:10000001',4.0:10009588',4.0:10968446',4.0:12651839',4.0:10000001',4.0:10009588',4.0:10968446',4.0:12651839',4.0:10000001',4.0:10009588',4.0:10968446',4.0:12651839',3.22,2.84,Engineering,College of Science,2.35,1.89,waitlisted,No Response,True,,22,Black or African American,Mexico,,TX
F103,F,Fall,736,587,1323,27,26,26,31,30,1,5,5,1,3.0:10000001',3.0:10009588',3.0:10968446',3.0:12651839',3.0:10000001',3.0:10009588',3.0:10968446',3.0:12651839',3.0:10000001',3.0:10009588',3.0:10968446',3.0:12651839',3.0:10000001',3.0:10009588',3.0:10968446',3.0:12651839',2.49,3.58,Math,Education,3.6,3.16,admitted,No Response,True,Not Available,20,Hispanics of any race,Canada,,NY
F104,T,,602,508,1110,32,32,25,19,25,12,7,12,7,2.0:10000001',2.0:10009588',2.0:10968446',2.0:12651839',2.0:10000001',2.0:10009588',2.0:10968446',2.0:12651839',2.0:10000001',2.0:10009588',2.0:10968446',2.0:12651839',2.0:10000001',2.0:10009588',2.0:10968446',2.0:12651839',3.06,2.84,Engineering,College of Science,2.6,2.23,rejected,,False,Not Available,18,Native American,China,In-State,TX
F105,T,Spring,541,505,1046,28,34,24,25,32,10,6,11,4,2.0:10000001',2.0:10009588',2.0:10968446',2.0:12651839',2.0:10000001',2.0:10009588',2.0:10968446',2.0:12651839',2.0:10000001',2.0:10009588',2.0:10968446',2.0:12651839',2.0:10000001',2.0:10009588',2.0:10968446',2.0:12651839',2.32,3.05,BIOL,Business,3.07,1.98,rejected,,False,Not Available,20,Asian,Mexico,International,NY
F106,F,Spring,688,731,1419,32,31,28,26,29,11,1,2,2,1.0:10000001',1.0:10009588',1.0:10968446',1.0:12651839',1.0:10000001',1.0:10009588',1.0:10968446',1.0:12651839',1.0:10000001',1.0:10009588',1.0:10968446',1.0:12651839',1.0:10000001',1.0:10009588',1.0:10968446',1.0:12651839',2.34,2.97,Computer Science,Engineering,2.66,3.01,rejected,Enroll,True,Male,20,White,India,,TX
F107,T,,651,512,1163,35,32,23,20,36,2,7,12,3,4.0:10000001',4.0:10009588',4.0:10968446',4.0:12651839',4.0:10000001',4.0:10009588',4.0:10968446',4.0:12651839',4.0:10000001',4.0:10009588',4.0:10968446',4.0:12651839',4.0:10000001',4.0:10009588',4.0:10968446',4.0:12651839',2.63,3.35,Physics,Business,1.2,2.15,waitlisted,No Response,,Female,,Asian,Canada,In-State,VA
F108,T,Fall,605,427,1032,28,36,19,25,32,5,10,5,7,3.0:10000001',3.0:10009588',3.0:10968446',3.0:12651839',3.0:10000001',3.0:10009588',3.0:10968446',3.0:12651839',3.0:10000001',3.0:10009588',3.0:10968446',3.0:12651839',3.0:10000001',3.0:10009588',3.0:10968446',3.0:12651839',2.09,3.66,Physics,Education,3.39,3.65,admitted,,False,Not Available,29,Hispanics of any race,USA,In-State,MD
F109,F,,593,646,1239,20,20,34,36,23,3,10,6,1,2.0:10000001',2.0:10009588',2.0:10968446',2.0:12651839',2.0:10000001',2.0:10009588',2.0:10968446',2.0:12651839',2.0:10000001',2.0:10009588',2.0:10968446',2.0:12651839',2.0:10000001',2.0:10009588',2.0:10968446',2.0:12651839',2.82,3.31,Psychology,College of Science,2.85,2.26,rejected,No Response,True,Male,26,White,Mexico,In-State,VA
F110,F,,792,448,1240,29,27,26,20,32,8,3,1,1,4.0:10000001',4.0:10009588',4.0:10968446',4.0:12651839',4.0:10000001',4.0:10009588',4.0:10968446',4.0:12651839',4.0:10000001',4.0:10009588',4.0:10968446',4.0:12651839',4.0:10000001',4.0:10009588',4.0:10968446',4.0:12651839',1.63,2.91,Computer Science,Business,3.1,3.01,waitlisted,No Response,True,,23,Native American,Mexico,International,MD
F111,T,Summer,659,652,1311,28,34,28,23,30,1,12,9,7,1.0:10000001',1.0:10009588',1.0:10968446',1.0:12651839',1.0:10000001',1.0:10009588',1.0:10968446',1.0:12651839',1.0:10000001',1.0:10009588',1.0:10968446',1.0:12651839',1.0:10000001',1.0:10009588',1.0:10968446',1.0:12651839',2.53,1.71,Physics,Business,3.02,2.69,rejected,No Response,True,Not Available,,White,USA,International,
F112,F,Fall,742,626,1368,30,31,19,20,31,5,12,8,2,3.0:10000001',3.0:10009588',3.0:10968446',3.0:12651839',3.0:10000001',3.0:10009588',3.0:10968446',3.0:12651839',3.0:10000001',3.0:10009588',3.0:10968446',3.0:12651839',3.0:10000001',3.0:10009588',3.0:10968446',3.0:12651839',3.54,3.61,Engineering,College of Science,3.91,3.98,admitted,No Response,True,Male,20,,Canada,International,VA
F113,F,Summer,584,619,1203,28,18,30,29,25,1,4,4,5,4.0:10000001',4.0:10009588',4.0:10968446',4.0:12651839',4.0:10000001',4.0:10009588',4.0:10968446',4.0:12651839',4.0:10000001',4.0:10009588',4.0:10968446',4.0:12651839',4.0:10000001',4.0:10009588',4.0:10968446',4.0:12651839',2.06,3.89,Math,Education,2.74,3.82,admitted,Enroll,False,Male,19,Black or African American,Canada,International,TX
F114,T,Spring,601,404,1005,31,36,25,24,27,3,9,8,4,2.0:10000001',2.0:10009588',2.0:10968446',2.0:12651839',2.0:10000001',2.0:10009588',2.0:10968446',2.0:12651839',2.0:10000001',2.0:10009588',2.0:10968446',2.0:12651839',2.0:10000001',2.0:10009588',2.0:10968446',2.0:12651839',3.22,3.33,BIOL,Liberal Arts,2.61,3.04,rejected,No Response,True,Not Available,22,White,,Out-of-State,MD
F115,T,,718,493,1211,30,36,27,23,34,3,1,2,1,2.0:10000001',2.0:10009588',2.0:10968446',2.0:12651839',2.0:10000001',2.0:10009588',2.0:10968446',2.0:12651839',2.0:10000001',2.0:10009588',2.0:10968446',2.0:12651839',2.0:10000001',2.0:10009588',2.0:10968446',2.0:12651839',2.18,1.6,Computer Science,Education,2.25,2.68,rejected,Enroll,True,Male,23,White,India,International,VA
F116,T,,679,778,1457,19,22,32,35,25,11,10,4,2,2.0:10000001',2.0:10009588',2.0:10968446',2.0:12651839',2.0:10000001',2.0:10009588',2.0:10968446',2.0:12651839',2.0:10000001',2.0:10009588',2.0:10968446',2.0:12651839',2.0:10000001',2.0:10009588',2.0:10968446',2.0:12651839',3.43,1.76,Psychology,Liberal Arts,2.94,1.91,rejected,Enroll,True,Not Available,21,Hispanics of any race,Mexico,In-State,NY
F117,F,Summer,584,571,1155,18,19,27,29,28,8,7,1,9,1.0:10000001',1.0:10009588',1.0:10968446',1.0:12651839',1.0:10000001',1.0:10009588',1.0:10968446',1.0:12651839',1.0:10000001',1.0:10009588',1.0:10968446',1.0:12651839',1.0:10000001',1.0:10009588',1.0:10968446',1.0:12651839',2.18,2.0,Math,Liberal Arts,1.79,3.27,rejected,No Response,False,Male,28,Asian,USA,International,CA
F118,F,Summer,531,414,945,26,35,28,22,32,7,7,8,2,2.0:10000001',2.0:10009588',2.0:10968446',2.0:12651839',2.0:10000001',2.0:10009588',2.0:10968446',2.0:12651839',2.0:10000001',2.0:10009588',2.0:10968446',2.0:12651839',2.0:10000001',2.0:10009588',2.0:10968446',2.0:12651839',3.2,2.56,Physics,Engineering,3.4,2.12,rejected,No Response,True,Not Available,28,Black or African American,Canada,International,NY
F119,F,Spring,465,730,1195,26,29,19,18,25,1,1,8,6,4.0:10000001',4.0:10009588',4.0:10968446',4.0:12651839',4.0:10000001',4.0:10009588',4.0:10968446',4.0:12651839',4.0:10000001',4.0:10009588',4.0:10968446',4.0:12651839',4.0:10000001',4.0:10009588',4.0:10968446',4.0:12651839',3.44,2.33,Engineering,Engineering,3.07,2.1,waitlisted,Enroll,False,Not Available,25,Black or African American,China,In-State,TX
F120,F,Summer,622,458,1080,35,34,18,19,32,10,2,11,12,1.0:10000001',1.0:10009588',1.0:10968446',1.0:12651839',1.0:10000001',1.0:10009588',1.0:10968446',1.0:12651839',1.0:10000001',1.0:10009588',1.0:10968446',1.0:12651839',1.0:10000001',1.0:10009588',1.0:10968446',1.0:12651839',2.73,1.99,Computer Science,Education,2.34,2.3,rejected,,True,,17,Hispanics of any race,Canada,International,
F121,T,,513,481,994,36,30,24,22,34,9,2,4,1,1.0:10000001',1.0:10009588',1.0:10968446',1.0:12651839',1.0:10000001',1.0:10009588',1.0:10968446',1.0:12651839',1.0:10000001',1.0:10009588',1.0:10968446',1.0:12651839',1.0:10000001',1.0:10009588',1.0:10968446',1.0:12651839',2.92,2.84,Computer Science,Liberal Arts,2.24,2.5,rejected,Enroll,True,Not Available,19,Asian,,Out-of-State,TX
F122,F,Fall,478,744,1222,26,34,23,20,34,4,6,6,11,1.0:10000001',1.0:10009588',1.0:10968446',1.0:12651839',1.0:10000001',1.0:10009588',1.0:10968446',1.0:12651839',1.0:10000001',1.0:10009588',1.0:10968446',1.0:12651839',1.0:10000001',1.0:10009588',1.0:10968446',1.0:12651839',2.0,1.56,Engineering,Business,2.3,1.59,rejected,No Response,True,Female,19,Hispanics of any race,India,Out-of-State,TX
F123,T,Spring,537,564,1101,27,29,24,26,25,2,7,4,6,1.0:10000001',1.0:10009588',1.0:10968446',1.0:12651839',1.0:10000001',1.0:10009588',1.0:10968446',1.0:12651839',1.0:10000001',1.0:10009588',1.0:10968446',1.0:12651839',1.0:10000001',1.0:10009588',1.0:10968446',1.0:12651839',3.02,2.68,Physics,Business,2.14,3.22,rejected,Enroll,False,Male,18,White,Mexico,Out-of-State,
F124,F,,549,650,1199,20,26,34,31,21,11,8,3,7,4.0:10000001',4.0:10009588',4.0:10968446',4.0:12651839',4.0:10000001',4.0:10009588',4.0:10968446',4.0:12651839',4.0:10000001',4.0:10009588',4.0:10968446',4.0:12651839',4.0:10000001',4.0:10009588',4.0:10968446',4.0:12651839',2.27,3.83,Psychology,Engineering,3.69,3.99,admitted,No Response,False,,17,Native American,India,In-State,TX
